date,source,sessions,booking_cta_clicks,inquiries,booking_starts
2026-01-01,Organic,310,28,7,4
2026-01-01,Direct,180,22,4,3
2026-01-01,Referral,90,8,2,1
2026-02-01,Organic,355,34,9,5
2026-02-01,Direct,205,27,5,3
2026-02-01,Referral,104,9,2,1
2026-03-01,Organic,420,45,12,7
2026-03-01,Direct,226,31,7,4
2026-03-01,Referral,118,13,3,2
2026-04-01,Organic,500,59,15,9
2026-04-01,Direct,252,36,8,5
2026-04-01,Referral,135,14,4,2
2026-05-01,Organic,575,73,18,11
2026-05-01,Direct,280,41,9,6
2026-05-01,Referral,148,18,4,3
